שם_מלא	טלפון	דירה	הערה
דוד כהן	0501234501	1	
שרה לוי	0521234502	2	
יוסי מזרחי	0531234503	3	מנהל ועד הבית
מרים פרץ	0541234504	4	
אבי ביטון	0551234505	5	
נעמי דהן	0581234506	6	מעדיפה הודעות בלבד
משה אברהם	0501234507	7	
רחל שלום	0521234508	8	
יעקב חדד	0531234509	9	
לאה גבאי	0541234510	10	בעלת כלב
שלמה אזולאי	0551234511	11	
תמר מוסרי	0521234512	12	
אריה מלכה	0501234513	13	קשה להשגה - רק בבוקר
דינה אוחיון	0531234514	14	
גל שטרית	0541234515	15	
חנה בן-שמעון	0581234516	16	גמלאית
ניר ברוך	0501234517	17	
יעל שמעון	0521234518	18	
עמית נחמן	0531234519	19	
נורית כץ	0541234520	20	דיירת חדשה - עברה ב-03/2026
רן גולן	0551234521	21	
דליה שפירא	0521234522	22	
איתמר גרינברג	0501234523	23	עסק בדירה - יש לתאם מראש
גלית פלד	0531234524	24	
שי רוזן	0541234525	25	
שירה שור	0581234526	26	
אסף ברגר	0501234527	27	אלרגי - ריסוס אסור בחלוטין
ליאת אייל	0521234528	28	
מיכאל רייס	0531234529	29	
כרמית גורדון	0541234530	30	משפחה גדולה - 6 נפשות
אלי קפלן	0551234531	31	
איריס פרידמן	0521234532	32	
נועם ליבוביץ	0501234533	33	
עדי שטיין	0531234534	34	מעדיפה ווטסאפ
ירון בלום	0541234535	35	
הדר נובק	0581234536	36	
עידו פישר	0501234537	37	
טל ורשבסקי	0521234538	38	שפה עיקרית: רוסית
בן פטרוב	0531234539	39	
רוני אוסטרוב	0541234540	40	
אור גלזר	0551234541	41	
נועה זיו	0521234542	42	
אדם לנדאו	0501234543	43	סטודנט
שני אוחנה	0531234544	44	
ליה בוחניק	0541234545	45	
אורית חיון	0581234546	46	נכה - קומה ראשונה
לירן בוזו	0501234547	47	
נגה ג'ורג'	0521234548	48	שפה עיקרית: ערבית
אלון חמו	0531234549	49	
ברק אוחנה	0541234550	50	
ראובן מנחם	0551234551	51	
ולדימיר גרינשטיין	0521234552	52	שפה עיקרית: רוסית
איגור פרלמן	0501234553	53	
אירינה שפירו	0531234554	54	
נטשה לוינסון	0541234555	55	מעדיפה הודעות בלבד
בוריס קלין	0581234556	56	
אנה ראידמן	0501234557	57	
אנדרי בורוכוב	0521234558	58	
אולגה ראבינוביץ	0531234559	59	
לריסה פורטנוי	0541234560	60	גמלאית - זקוקה לסיוע
מרינה זלדין	0551234561	61	
סוזן ג'קסון	0521234562	62	שפה עיקרית: אנגלית
עמנואל גנים	0501234563	63	
פאטמה חסן	0531234564	64	שפה עיקרית: ערבית
מוחמד ג'בר	0541234565	65	
אחמד עלי	0581234566	66	
ח'אולה מנסור	0501234567	67	
יוסף אבו-עמר	0521234568	68	
מיכל דנינו	0531234569	69	
אבנר צדוק	0541234570	70	בעל חתול
תהילה פינטו	0551234571	71	
גבריאל אזרן	0521234572	72	
ציפורה ויזל	0501234573	73	
אפרים גולדברג	0531234574	74	
פנינה שניידר	0541234575	75	ועד - גזברית
שמואל הלוי	0581234576	76	
ליבנה בסו	0501234577	77	שפה עיקרית: אמהרית
מלכה ג'ולי	0521234578	78	
